,Mean,Systematic Error,% Sys. err.,Random Error,% Rand. err.
1000 uL,1002.976884,2.976884,0.2976884,1.729684594,0.172455081
500 uL,503.412392,3.412392,0.6824784,0.691481481,0.137358852
200 uL,204.300068,4.300068,2.150034,0.155939396,0.076328607
100 uL,104.870332,4.870332,4.870332,0.806129108,0.768691291
