"","Mean","Systematic Error","% Sys. err.","Random Error","% Rand. err."
"200 uL",198.230424,-1.769576,-0.884788,1.1448601938892,0.57754010246641
"50 uL",48.88506,-1.11494,-2.22987999999999,0.714604084925355,1.46180465959407
"20 uL",20.162996,0.162996,0.814979999999998,0.163509540418901,0.810938713765061
"10 uL",9.877392,-0.122608,-1.22608,0.335335312044527,3.39497827001831
